Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal,Environmental_Impact_Score,Sustainability_Score
Steel,Hybrid,Reused,37.88,3.39,2.31,390.58,69.78,5.19,0.4,0.65,17.94,0.08,0.06576198182366527,0.5545816240266963
Steel,Hybrid,Reused,90.38,3.61,5.42,319.45,64.04,4.11,0.37,1.85,36.5,0.04,0.11204902211203258,0.4955949276974417
Cobalt,Recycled,Landfilled,56.63,6.27,7.25,241.24,68.02,2.96,0.36,36.46,5.95,0.17,0.11286789676433112,0.48193094549499443
Aluminium,Primary,Reused,131.67,6.62,10.35,247.24,25.74,1.54,0.23,1.83,9.31,0.2,0.1784860049124171,0.22922028921023363
Silver,Primary,Landfilled,248.19,22.99,70.33,140.62,61.51,2.15,0.36,1354.35,22.98,0.02,0.47546824596021564,0.4378709232480534
Copper,Hybrid,Reused,111.38,7.06,12.15,384.19,19.52,2.26,0.69,7.52,9.47,0.09,0.16785055421152356,0.40435808676307006
Aluminium,Primary,Recycled,115.15,9.7,10.0,334.23,23.56,4.32,0.54,2.85,19.72,0.26,0.19584034527594893,0.40634678531701895
Silver,Recycled,Reused,154.57,20.51,63.14,86.83,52.13,2.63,0.58,819.62,5.21,0.04,0.37094895697065955,0.49902945494994444
Lead,Recycled,Reused,36.58,3.34,2.84,178.05,47.27,2.03,0.38,1.62,13.78,0.03,0.06457497227946754,0.3862412903225807
Nickel,Hybrid,Recycled,164.28,5.22,7.67,384.92,42.34,5.43,0.21,12.66,7.18,0.24,0.18879118954762603,0.37416088987764184
Copper,Hybrid,Landfilled,70.17,9.17,10.57,259.28,37.6,1.09,0.65,5.79,6.4,0.1,0.15492432286544702,0.4346491657397108
Nickel,Hybrid,Landfilled,112.77,13.93,17.74,311.57,49.42,4.39,0.21,15.9,11.48,0.21,0.24140772791597984,0.3793440711902114
Copper,Recycled,Reused,69.67,4.76,9.24,352.5,76.83,4.4,0.6,5.37,5.22,0.11,0.10952627189831722,0.6452065406006675
Zinc,Hybrid,Landfilled,46.65,6.8,8.14,311.94,69.0,2.28,0.19,3.12,13.78,0.07,0.11077631777464769,0.4027230255839822
Aluminium,Primary,Recycled,118.09,10.38,16.84,400.04,72.44,3.42,0.42,1.68,11.63,0.09,0.2095559678371519,0.5338445383759732
Zinc,Hybrid,Recycled,63.14,6.38,9.95,326.12,20.03,1.31,0.18,2.4,11.13,0.12,0.12097821482999312,0.18126349276974418
Aluminium,Primary,Reused,73.27,8.78,18.06,279.18,42.04,3.8,0.54,2.34,18.86,0.15,0.15849875708896816,0.4686983759733037
Lead,Hybrid,Landfilled,77.78,5.16,4.1,146.02,33.01,1.57,0.47,1.98,13.46,0.06,0.11658963844429145,0.3549676974416018
Aluminium,Primary,Reused,89.96,4.68,16.48,245.12,30.32,1.02,0.49,2.58,7.88,0.1,0.12979089703072205,0.33997187986651833
Zinc,Recycled,Recycled,66.85,3.22,8.46,237.09,21.7,1.11,0.56,2.68,8.21,0.07,0.09134560522882128,0.33549410456062295
Tin,Primary,Landfilled,73.77,1.36,4.9,137.69,78.05,1.23,0.2,18.7,5.4,0.09,0.07590464897338249,0.4195637374860957
Zinc,Recycled,Landfilled,88.86,7.22,5.26,200.92,30.59,5.94,0.24,2.71,14.16,0.06,0.14683498934067563,0.350506829810901
Lead,Primary,Landfilled,86.34,2.2,6.26,131.14,42.3,3.43,0.69,2.16,10.33,0.09,0.0952726757127611,0.5215070077864293
Steel,Recycled,Recycled,35.54,3.36,2.04,297.89,75.28,8.6,0.47,1.48,23.51,0.09,0.0634092970235766,0.6804436929922136
Lead,Primary,Recycled,32.23,3.36,7.54,296.78,69.24,3.77,0.44,1.23,7.68,0.08,0.06442814709043981,0.5368309677419355
Zinc,Hybrid,Landfilled,48.25,2.24,10.07,225.42,73.02,5.07,0.59,2.48,7.0,0.04,0.06773230890846808,0.6408719911012236
Nickel,Primary,Landfilled,118.16,13.4,16.47,238.98,54.13,3.91,0.32,12.04,9.21,0.1,0.23957280406817555,0.43150553948832043
Lead,Primary,Reused,70.21,2.58,4.32,206.41,27.84,5.73,0.44,1.45,11.93,0.13,0.08487207527439483,0.4148349721913237
Gold,Recycled,Reused,406.19,27.71,153.3,163.53,35.86,3.12,0.21,3677.43,17.11,0.03,0.7044460677803646,0.29685045606229143
Aluminium,Recycled,Landfilled,161.49,8.75,14.23,282.77,78.52,7.88,0.15,1.9,16.19,0.27,0.22624184682011855,0.5493858954393771
Gold,Primary,Recycled,412.37,23.57,110.47,99.09,72.08,3.03,0.42,4420.85,34.05,0.01,0.6394202492507546,0.5237282313681869
Silver,Hybrid,Reused,278.25,19.77,147.84,158.23,29.3,2.74,0.53,1047.34,7.2,0.01,0.5190025270765991,0.39015661846496114
Silver,Recycled,Landfilled,341.18,21.84,60.51,105.35,25.1,2.22,0.43,951.32,22.02,0.04,0.5318312816284658,0.32178820912124584
Nickel,Recycled,Reused,170.15,14.55,7.01,205.72,41.3,5.97,0.59,14.05,7.93,0.24,0.28637181223847047,0.5340142380422692
Silver,Primary,Landfilled,310.64,18.03,84.48,123.78,23.89,2.12,0.55,717.45,29.56,0.04,0.4852666849170725,0.36272351501668526
Zinc,Primary,Landfilled,100.75,6.37,11.89,279.04,73.04,4.1,0.53,3.3,11.76,0.13,0.1522688972466913,0.5953724582869856
Zinc,Primary,Recycled,115.48,7.59,9.19,319.48,21.17,2.78,0.69,3.11,14.63,0.13,0.17445900414222607,0.42252649610678533
Silver,Primary,Landfilled,330.94,20.0,94.59,144.58,52.6,3.46,0.14,934.96,10.42,0.04,0.527958282423419,0.3433744160177976
Nickel,Hybrid,Landfilled,164.34,6.03,17.56,285.74,77.68,3.88,0.51,14.38,9.39,0.22,0.2035363214828638,0.6010381312569523
Gold,Primary,Recycled,354.13,29.29,121.32,176.71,62.14,4.36,0.3,4015.42,31.1,0.02,0.6572638337688399,0.4655566629588432
Aluminium,Hybrid,Landfilled,71.93,4.23,7.98,381.03,70.63,1.13,0.22,1.93,11.64,0.06,0.10519326507000396,0.39565904338153507
Copper,Primary,Recycled,56.33,8.07,6.09,230.41,70.63,3.57,0.31,5.8,14.47,0.12,0.12985878625744313,0.48594157953281425
Zinc,Recycled,Landfilled,33.46,4.4,6.44,156.97,25.45,3.8,0.29,2.87,13.42,0.15,0.07508151408813798,0.30233837597330365
Aluminium,Hybrid,Reused,146.8,10.39,13.07,448.77,82.91,5.8,0.63,1.74,16.71,0.21,0.2301168815768147,0.7126722580645161
Tin,Hybrid,Reused,61.51,5.01,1.89,196.93,52.39,1.73,0.52,15.58,8.11,0.04,0.10059563105170592,0.4560472080088988
Tin,Recycled,Recycled,53.1,5.43,4.67,198.18,74.55,2.16,0.13,23.03,8.98,0.05,0.09992048999595317,0.3982533926585094
Lead,Primary,Recycled,73.76,4.39,2.99,264.9,85.72,6.77,0.43,1.3,11.26,0.1,0.10493055048742465,0.6654917908787542
Zinc,Recycled,Landfilled,45.02,2.29,3.5,102.48,25.19,3.76,0.31,3.17,7.95,0.06,0.06126649019554637,0.30840849833147943
Lead,Primary,Reused,38.81,3.08,1.78,227.42,65.18,5.35,0.58,1.61,6.5,0.13,0.06305200231615872,0.6117411345939933
Nickel,Primary,Recycled,115.35,11.68,11.95,149.49,14.84,1.92,0.29,10.82,10.78,0.12,0.2171056912872985,0.21807412680756394
Steel,Recycled,Recycled,25.61,3.16,9.98,237.41,78.84,3.68,0.61,0.7,10.52,0.07,0.0587571582487749,0.641228743047831
Copper,Primary,Recycled,102.35,8.02,8.95,164.74,33.86,1.34,0.51,7.49,7.83,0.03,0.1680928845873521,0.36925090100111235
Nickel,Recycled,Recycled,105.31,13.05,17.69,431.29,51.97,3.43,0.19,10.49,7.77,0.22,0.22660239420396794,0.3601870077864294
Lead,Recycled,Recycled,69.04,5.19,3.23,157.78,59.47,6.87,0.4,2.11,5.0,0.13,0.10931546052565518,0.5507164849833148
Copper,Recycled,Reused,67.5,9.95,9.55,180.71,6.55,3.89,0.49,7.07,9.69,0.14,0.15990945097906945,0.30874060066740827
Steel,Recycled,Landfilled,39.23,4.63,4.43,285.9,65.99,2.06,0.26,1.67,29.51,0.03,0.08065911701884096,0.4137886985539488
Zinc,Primary,Landfilled,45.77,8.11,11.92,126.27,59.55,3.83,0.28,3.09,5.93,0.07,0.12569605450947124,0.4354057842046718
Zinc,Hybrid,Recycled,75.39,2.98,8.83,188.77,42.93,4.26,0.5,3.71,5.99,0.08,0.09602578775583814,0.46649196885428257
Cobalt,Hybrid,Recycled,148.41,11.13,14.52,126.39,21.56,1.61,0.11,29.53,17.77,0.1,0.23977404306858863,0.16605757508342603
Steel,Hybrid,Reused,21.12,2.44,9.75,260.05,35.38,3.1,0.77,1.11,32.6,0.15,0.04780890564215652,0.5184855172413794
Silver,Primary,Landfilled,203.56,18.4,103.79,151.95,83.07,3.64,0.32,1228.96,29.69,0.02,0.41615467037421006,0.5412588654060067
Silver,Recycled,Landfilled,270.38,22.93,86.17,167.6,34.82,1.58,0.46,1385.68,13.63,0.02,0.5031882398719993,0.35843016685205786
Nickel,Hybrid,Landfilled,137.02,9.6,15.88,254.24,78.05,2.84,0.48,10.6,9.45,0.14,0.21626239120070911,0.5673813125695216
Copper,Primary,Reused,140.2,5.71,6.88,287.38,15.84,4.33,0.49,6.84,20.08,0.05,0.17389582677109935,0.35568925472747503
Nickel,Recycled,Recycled,117.65,7.91,10.69,223.05,52.95,1.83,0.37,19.48,9.52,0.15,0.18039659203635974,0.40051190211345944
Cobalt,Primary,Recycled,67.14,4.62,10.31,267.75,62.13,1.23,0.52,37.85,7.74,0.07,0.10681483803487568,0.4838837374860957
Gold,Hybrid,Recycled,343.07,21.16,194.04,82.33,35.43,5.52,0.18,4792.37,16.95,0.02,0.6155857799381467,0.3365231145717464
Lead,Primary,Landfilled,88.58,6.11,7.92,176.88,39.51,4.77,0.58,1.9,11.64,0.08,0.13728195277494562,0.49615790878754173
Zinc,Primary,Reused,107.42,5.42,10.85,252.54,37.13,2.19,0.41,3.28,12.63,0.05,0.14741060466163786,0.36124080088987764
Gold,Hybrid,Landfilled,397.12,39.58,294.21,165.08,74.24,2.74,0.53,3346.15,16.54,0.05,0.9098826300963601,0.5699166184649611
Tin,Primary,Recycled,25.87,3.65,2.92,193.76,79.3,4.47,0.37,21.62,8.69,0.03,0.059158523861263745,0.5646438264738598
Cobalt,Recycled,Landfilled,121.22,8.74,12.99,343.11,54.43,3.71,0.22,38.56,9.66,0.15,0.19308926694364492,0.38825615127919916
Cobalt,Primary,Recycled,157.94,9.49,4.52,284.1,12.86,1.73,0.31,25.89,6.84,0.2,0.22432778501105324,0.21392720800889875
Steel,Primary,Reused,88.18,6.92,4.92,378.54,49.87,7.94,0.27,0.9,15.78,0.1,0.14306334877692012,0.4841207119021135
Gold,Primary,Reused,407.0,20.81,223.25,185.1,65.54,2.59,0.53,3270.25,38.57,0.04,0.6827227801310453,0.5317795773081202
Tin,Primary,Reused,22.11,5.22,2.89,104.0,50.65,3.06,0.39,19.5,8.52,0.04,0.07183354183720195,0.4266756395995551
Silver,Hybrid,Recycled,335.68,22.82,120.03,118.0,28.14,3.75,0.36,840.18,15.13,0.03,0.576922996000775,0.33998602892102336
Gold,Recycled,Reused,378.53,23.69,217.48,83.81,65.9,3.15,0.34,4359.23,45.33,0.02,0.684899454362982,0.46967786429365965
Zinc,Recycled,Recycled,76.32,4.12,7.04,116.31,17.21,3.44,0.67,2.3,13.23,0.05,0.10697921009505898,0.41336947719688544
Zinc,Primary,Recycled,58.04,3.38,10.22,236.14,57.14,3.97,0.22,3.28,7.05,0.13,0.08706953660001746,0.40488035595105676
Aluminium,Primary,Landfilled,163.21,6.9,9.57,441.59,52.4,5.83,0.67,2.42,13.31,0.16,0.20600613825536804,0.6072996662958844
Cobalt,Recycled,Recycled,116.48,9.78,11.3,129.21,27.96,2.47,0.29,36.18,6.17,0.17,0.19857176246117406,0.2827899443826474
Aluminium,Primary,Recycled,105.29,9.18,14.17,354.77,45.55,7.93,0.51,2.59,9.98,0.28,0.1855294193718096,0.5626182424916574
Lead,Recycled,Landfilled,33.46,2.64,7.72,265.45,79.6,2.0,0.46,1.93,10.45,0.15,0.05833067393744948,0.5468938820912125
Zinc,Hybrid,Recycled,36.73,7.93,7.31,213.48,74.97,2.35,0.29,2.9,11.4,0.06,0.11358728103837246,0.4681603114571747
Silver,Primary,Reused,277.83,22.77,123.01,189.41,53.05,2.93,0.51,1397.91,13.82,0.05,0.5321161793888234,0.48138353726362626
Nickel,Primary,Reused,157.17,9.01,16.65,370.22,71.43,3.57,0.43,17.47,8.5,0.22,0.22699922354183794,0.5371415795328143
Cobalt,Primary,Recycled,114.22,9.77,13.71,163.75,49.08,3.62,0.34,28.4,9.48,0.13,0.1982702901175471,0.41285392658509457
Zinc,Recycled,Reused,50.47,5.49,8.49,346.73,22.35,5.16,0.3,2.76,14.48,0.08,0.10096335460296808,0.32419421579532814
Zinc,Recycled,Landfilled,48.99,3.15,2.34,131.32,47.12,1.79,0.15,2.73,14.73,0.17,0.07227205420854374,0.2883020244716351
Silver,Recycled,Landfilled,166.49,15.45,53.85,173.65,82.52,4.04,0.12,1128.01,5.65,0.01,0.3236801801364451,0.46795764182424915
Lead,Primary,Landfilled,45.3,5.63,7.11,83.94,54.0,2.61,0.62,2.26,8.56,0.07,0.09730621811936527,0.5220645161290323
Silver,Hybrid,Landfilled,218.02,16.65,112.28,93.27,50.83,2.44,0.27,1014.07,22.89,0.01,0.4158832754575486,0.36560253615127924
