Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal
Zinc,Recycled,Landfilled,88.86,7.22,5.26,200.92,30.59,5.94,0.24,2.71,14.16,0.06
Lead,Primary,Landfilled,86.34,2.2,6.26,131.14,42.3,3.43,0.69,2.16,10.33,0.09
Steel,Recycled,Recycled,35.54,3.36,2.04,297.89,75.28,8.6,0.47,1.48,23.51,0.09
Lead,Primary,Recycled,32.23,3.36,7.54,296.78,69.24,3.77,0.44,1.23,7.68,0.08
Zinc,Hybrid,Landfilled,48.25,2.24,10.07,225.42,73.02,5.07,0.59,2.48,7.0,0.04
Nickel,Primary,Landfilled,118.16,13.4,16.47,238.98,54.13,3.91,0.32,12.04,9.21,0.1
Lead,Primary,Reused,70.21,2.58,4.32,206.41,27.84,5.73,0.44,1.45,11.93,0.13
Gold,Recycled,Reused,406.19,27.71,153.3,163.53,35.86,3.12,0.21,3677.43,17.11,0.03
Aluminium,Recycled,Landfilled,161.49,8.75,14.23,282.77,78.52,7.88,0.15,1.9,16.19,0.27
Gold,Primary,Recycled,412.37,23.57,110.47,99.09,72.08,3.03,0.42,4420.85,34.05,0.01
Silver,Hybrid,Reused,278.25,19.77,147.84,158.23,29.3,2.74,0.53,1047.34,7.2,0.01
Silver,Recycled,Landfilled,341.18,21.84,60.51,105.35,25.1,2.22,0.43,951.32,22.02,0.04
Nickel,Recycled,Reused,170.15,14.55,7.01,205.72,41.3,5.97,0.59,14.05,7.93,0.24
Silver,Primary,Landfilled,310.64,18.03,84.48,123.78,23.89,2.12,0.55,717.45,29.56,0.04
Zinc,Primary,Landfilled,100.75,6.37,11.89,279.04,73.04,4.1,0.53,3.3,11.76,0.13
Zinc,Primary,Recycled,115.48,7.59,9.19,319.48,21.17,2.78,0.69,3.11,14.63,0.13
Silver,Primary,Landfilled,330.94,20.0,94.59,144.58,52.6,3.46,0.14,934.96,10.42,0.04
Nickel,Hybrid,Landfilled,164.34,6.03,17.56,285.74,77.68,3.88,0.51,14.38,9.39,0.22
Gold,Primary,Recycled,354.13,29.29,121.32,176.71,62.14,4.36,0.3,4015.42,31.1,0.02
Aluminium,Hybrid,Landfilled,71.93,4.23,7.98,381.03,70.63,1.13,0.22,1.93,11.64,0.06
Copper,Primary,Recycled,56.33,8.07,6.09,230.41,70.63,3.57,0.31,5.8,14.47,0.12
Zinc,Recycled,Landfilled,33.46,4.4,6.44,156.97,25.45,3.8,0.29,2.87,13.42,0.15
Aluminium,Hybrid,Reused,146.8,10.39,13.07,448.77,82.91,5.8,0.63,1.74,16.71,0.21
Tin,Hybrid,Reused,61.51,5.01,1.89,196.93,52.39,1.73,0.52,15.58,8.11,0.04
Tin,Recycled,Recycled,53.1,5.43,4.67,198.18,74.55,2.16,0.13,23.03,8.98,0.05
Lead,Primary,Recycled,73.76,4.39,2.99,264.9,85.72,6.77,0.43,1.3,11.26,0.1
Zinc,Recycled,Landfilled,45.02,2.29,3.5,102.48,25.19,3.76,0.31,3.17,7.95,0.06
Lead,Primary,Reused,38.81,3.08,1.78,227.42,65.18,5.35,0.58,1.61,6.5,0.13
Nickel,Primary,Recycled,115.35,11.68,11.95,149.49,14.84,1.92,0.29,10.82,10.78,0.12
Steel,Recycled,Recycled,25.61,3.16,9.98,237.41,78.84,3.68,0.61,0.7,10.52,0.07
Copper,Primary,Recycled,102.35,8.02,8.95,164.74,33.86,1.34,0.51,7.49,7.83,0.03
Nickel,Recycled,Recycled,105.31,13.05,17.69,431.29,51.97,3.43,0.19,10.49,7.77,0.22
Lead,Recycled,Recycled,69.04,5.19,3.23,157.78,59.47,6.87,0.4,2.11,5.0,0.13
Copper,Recycled,Reused,67.5,9.95,9.55,180.71,6.55,3.89,0.49,7.07,9.69,0.14
Steel,Recycled,Landfilled,39.23,4.63,4.43,285.9,65.99,2.06,0.26,1.67,29.51,0.03
Zinc,Primary,Landfilled,45.77,8.11,11.92,126.27,59.55,3.83,0.28,3.09,5.93,0.07
Zinc,Hybrid,Recycled,75.39,2.98,8.83,188.77,42.93,4.26,0.5,3.71,5.99,0.08
Cobalt,Hybrid,Recycled,148.41,11.13,14.52,126.39,21.56,1.61,0.11,29.53,17.77,0.1
Steel,Hybrid,Reused,21.12,2.44,9.75,260.05,35.38,3.1,0.77,1.11,32.6,0.15
Silver,Primary,Landfilled,203.56,18.4,103.79,151.95,83.07,3.64,0.32,1228.96,29.69,0.02
Silver,Recycled,Landfilled,270.38,22.93,86.17,167.6,34.82,1.58,0.46,1385.68,13.63,0.02
Nickel,Hybrid,Landfilled,137.02,9.6,15.88,254.24,78.05,2.84,0.48,10.6,9.45,0.14
Copper,Primary,Reused,140.2,5.71,6.88,287.38,15.84,4.33,0.49,6.84,20.08,0.05
Nickel,Recycled,Recycled,117.65,7.91,10.69,223.05,52.95,1.83,0.37,19.48,9.52,0.15
Cobalt,Primary,Recycled,67.14,4.62,10.31,267.75,62.13,1.23,0.52,37.85,7.74,0.07
Gold,Hybrid,Recycled,343.07,21.16,194.04,82.33,35.43,5.52,0.18,4792.37,16.95,0.02
Lead,Primary,Landfilled,88.58,6.11,7.92,176.88,39.51,4.77,0.58,1.9,11.64,0.08
Zinc,Primary,Reused,107.42,5.42,10.85,252.54,37.13,2.19,0.41,3.28,12.63,0.05
Gold,Hybrid,Landfilled,397.12,39.58,294.21,165.08,74.24,2.74,0.53,3346.15,16.54,0.05
Tin,Primary,Recycled,25.87,3.65,2.92,193.76,79.3,4.47,0.37,21.62,8.69,0.03
Cobalt,Recycled,Landfilled,121.22,8.74,12.99,343.11,54.43,3.71,0.22,38.56,9.66,0.15
Cobalt,Primary,Recycled,157.94,9.49,4.52,284.1,12.86,1.73,0.31,25.89,6.84,0.2
Steel,Primary,Reused,88.18,6.92,4.92,378.54,49.87,7.94,0.27,0.9,15.78,0.1
Gold,Primary,Reused,407.0,20.81,223.25,185.1,65.54,2.59,0.53,3270.25,38.57,0.04
Tin,Primary,Reused,22.11,5.22,2.89,104.0,50.65,3.06,0.39,19.5,8.52,0.04
Silver,Hybrid,Recycled,335.68,22.82,120.03,118.0,28.14,3.75,0.36,840.18,15.13,0.03
Gold,Recycled,Reused,378.53,23.69,217.48,83.81,65.9,3.15,0.34,4359.23,45.33,0.02
Zinc,Recycled,Recycled,76.32,4.12,7.04,116.31,17.21,3.44,0.67,2.3,13.23,0.05
Zinc,Primary,Recycled,58.04,3.38,10.22,236.14,57.14,3.97,0.22,3.28,7.05,0.13
Aluminium,Primary,Landfilled,163.21,6.9,9.57,441.59,52.4,5.83,0.67,2.42,13.31,0.16
Cobalt,Recycled,Recycled,116.48,9.78,11.3,129.21,27.96,2.47,0.29,36.18,6.17,0.17
Aluminium,Primary,Recycled,105.29,9.18,14.17,354.77,45.55,7.93,0.51,2.59,9.98,0.28
Lead,Recycled,Landfilled,33.46,2.64,7.72,265.45,79.6,2.0,0.46,1.93,10.45,0.15
Zinc,Hybrid,Recycled,36.73,7.93,7.31,213.48,74.97,2.35,0.29,2.9,11.4,0.06
Silver,Primary,Reused,277.83,22.77,123.01,189.41,53.05,2.93,0.51,1397.91,13.82,0.05
Nickel,Primary,Reused,157.17,9.01,16.65,370.22,71.43,3.57,0.43,17.47,8.5,0.22
Cobalt,Primary,Recycled,114.22,9.77,13.71,163.75,49.08,3.62,0.34,28.4,9.48,0.13
Zinc,Recycled,Reused,50.47,5.49,8.49,346.73,22.35,5.16,0.3,2.76,14.48,0.08
Zinc,Recycled,Landfilled,48.99,3.15,2.34,131.32,47.12,1.79,0.15,2.73,14.73,0.17
Silver,Recycled,Landfilled,166.49,15.45,53.85,173.65,82.52,4.04,0.12,1128.01,5.65,0.01
Lead,Primary,Landfilled,45.3,5.63,7.11,83.94,54.0,2.61,0.62,2.26,8.56,0.07
Silver,Hybrid,Landfilled,218.02,16.65,112.28,93.27,50.83,2.44,0.27,1014.07,22.89,0.01
Silver,Primary,Recycled,323.05,16.13,73.49,65.19,78.87,1.44,0.17,1280.68,9.44,0.02
Steel,Recycled,Reused,48.08,2.12,4.86,169.33,57.86,7.33,0.26,0.84,28.65,0.15
Copper,Primary,Landfilled,83.06,7.36,3.3,208.9,36.37,5.88,0.63,5.31,23.09,0.04
Lead,Recycled,Recycled,47.58,3.91,1.11,187.71,65.67,1.54,0.45,1.68,6.53,0.06
Steel,Hybrid,Landfilled,77.95,3.78,7.8,141.75,77.02,8.38,0.76,1.63,14.6,0.09
Aluminium,Recycled,Recycled,101.44,7.85,17.85,267.78,72.77,5.58,0.52,2.5,5.54,0.26
Tin,Recycled,Recycled,63.6,5.63,4.99,276.17,59.37,3.2,0.25,20.21,5.15,0.07
Gold,Recycled,Recycled,453.11,23.45,216.91,133.84,82.38,4.38,0.18,3990.96,10.34,0.04
Gold,Recycled,Landfilled,446.51,34.42,201.53,197.73,37.79,4.39,0.21,3595.76,42.63,0.03
Zinc,Hybrid,Landfilled,31.75,3.12,7.67,342.96,66.76,2.1,0.56,2.17,14.31,0.04
Gold,Recycled,Landfilled,449.36,33.47,278.18,106.22,84.65,2.88,0.36,3056.25,35.28,0.05
Nickel,Recycled,Reused,137.53,9.69,16.29,169.71,41.17,5.65,0.14,12.23,12.55,0.11
Cobalt,Recycled,Recycled,88.05,8.12,9.0,381.49,34.75,4.97,0.14,32.89,11.24,0.06
Copper,Recycled,Recycled,51.1,6.4,9.67,232.54,37.32,6.66,0.55,5.75,5.81,0.06
Steel,Recycled,Recycled,68.03,3.96,3.11,393.6,88.71,3.29,0.41,1.44,31.38,0.02
Steel,Hybrid,Recycled,99.5,4.34,3.24,380.2,76.21,5.67,0.26,1.95,28.54,0.03
Nickel,Hybrid,Reused,70.1,6.66,11.22,379.16,29.51,2.69,0.63,13.68,16.34,0.09
Gold,Hybrid,Recycled,351.38,33.78,230.2,111.19,80.38,1.38,0.34,3380.55,43.93,0.04
Aluminium,Recycled,Recycled,111.56,4.71,15.75,358.5,39.58,6.39,0.6,2.43,16.21,0.17
Lead,Recycled,Reused,86.98,2.68,6.97,135.81,55.76,6.31,0.5,2.13,5.47,0.12
Zinc,Hybrid,Recycled,42.8,5.09,5.87,134.24,76.59,1.72,0.53,3.24,5.5,0.14
Lead,Recycled,Landfilled,43.01,6.53,2.99,292.86,51.43,2.26,0.31,1.46,8.75,0.04
Silver,Hybrid,Recycled,228.05,12.44,71.86,92.68,70.18,3.09,0.55,1003.15,25.16,0.04
Cobalt,Primary,Recycled,82.45,4.12,10.42,218.16,20.99,3.16,0.42,24.46,14.17,0.15
Cobalt,Hybrid,Recycled,159.85,9.57,8.84,370.07,11.67,2.38,0.52,35.9,9.98,0.18
Lead,Primary,Reused,59.28,3.05,4.51,224.03,69.14,5.55,0.4,1.21,7.31,0.05
Nickel,Recycled,Recycled,62.7,12.91,13.1,273.7,67.85,3.02,0.36,10.07,19.91,0.18
Cobalt,Hybrid,Landfilled,102.92,7.42,9.23,168.3,21.86,4.35,0.1,29.39,18.39,0.11
Aluminium,Primary,Recycled,116.19,5.37,10.75,477.52,69.28,3.85,0.51,1.78,19.68,0.06
Silver,Primary,Recycled,348.7,12.11,62.54,79.28,64.12,4.69,0.25,916.34,15.43,0.05
Lead,Primary,Landfilled,36.54,2.32,3.68,82.26,44.66,3.5,0.57,2.01,14.56,0.13
Silver,Primary,Recycled,170.36,21.39,50.98,148.96,61.09,3.23,0.49,862.58,6.94,0.03
Aluminium,Hybrid,Recycled,54.03,4.2,11.2,401.91,33.77,4.14,0.23,2.22,6.82,0.25
Copper,Primary,Landfilled,86.72,9.93,9.65,225.67,15.19,6.5,0.59,7.86,12.22,0.05
Gold,Recycled,Recycled,473.22,26.37,112.61,190.17,85.02,5.26,0.16,4041.78,18.3,0.03
Gold,Hybrid,Recycled,410.98,35.31,171.98,120.68,50.94,3.28,0.35,3758.0,37.58,0.04
Tin,Primary,Landfilled,20.87,1.13,4.53,122.9,24.4,4.51,0.58,21.88,12.74,0.04
Aluminium,Hybrid,Recycled,190.14,11.06,11.67,267.94,71.75,6.06,0.2,2.58,7.37,0.16
Copper,Hybrid,Reused,54.3,8.03,9.42,182.57,16.32,2.41,0.18,7.96,19.87,0.19
Lead,Primary,Reused,84.27,5.27,7.49,115.82,62.14,5.82,0.63,2.4,6.92,0.11
Nickel,Hybrid,Reused,110.94,7.65,11.15,271.11,35.72,1.29,0.14,19.51,16.09,0.11
Gold,Recycled,Recycled,445.96,23.79,195.11,126.85,44.33,3.67,0.29,3894.0,47.08,0.03
Silver,Hybrid,Reused,259.28,12.97,77.95,75.66,31.76,4.78,0.47,715.43,24.89,0.04
Nickel,Primary,Recycled,149.88,12.51,7.58,344.42,56.48,5.23,0.11,16.35,14.4,0.08
Copper,Hybrid,Recycled,135.01,4.43,12.58,210.3,76.78,1.79,0.57,7.24,18.91,0.1
Nickel,Hybrid,Landfilled,168.48,9.45,14.2,295.32,25.0,5.88,0.18,15.27,8.04,0.1
Copper,Primary,Recycled,40.27,6.95,4.66,356.36,60.52,2.76,0.6,6.79,9.72,0.07
Cobalt,Hybrid,Landfilled,85.0,9.12,14.38,335.06,69.42,4.96,0.22,33.28,6.1,0.06
Lead,Recycled,Landfilled,54.66,5.96,7.53,295.09,25.18,6.26,0.66,2.23,13.54,0.07
Tin,Primary,Reused,29.34,4.68,3.33,290.93,43.85,1.47,0.35,24.74,13.16,0.09
Zinc,Hybrid,Landfilled,104.13,5.11,6.21,108.31,42.0,5.0,0.52,3.88,8.82,0.12
Tin,Recycled,Recycled,24.6,2.95,4.16,290.44,71.88,3.76,0.58,18.4,11.39,0.09
Aluminium,Primary,Landfilled,121.26,4.39,12.29,390.84,42.43,6.16,0.15,2.0,12.18,0.13
Zinc,Hybrid,Landfilled,33.63,8.25,6.53,124.06,56.08,5.1,0.4,3.09,14.05,0.08
Lead,Hybrid,Landfilled,86.47,3.65,3.19,173.19,66.24,1.45,0.58,1.56,10.12,0.11
Tin,Primary,Reused,64.92,5.77,2.75,123.62,13.47,2.56,0.52,18.49,10.05,0.03
Silver,Primary,Landfilled,229.0,15.03,97.18,80.22,21.07,4.42,0.29,1283.27,20.59,0.04
Nickel,Recycled,Recycled,67.18,14.68,13.97,197.14,32.29,5.49,0.4,11.35,16.38,0.2
Tin,Recycled,Reused,62.01,5.96,4.41,204.49,58.2,4.07,0.13,19.82,12.79,0.06
Cobalt,Hybrid,Reused,91.84,8.73,4.22,106.62,49.47,3.14,0.4,26.91,10.31,0.2
Cobalt,Recycled,Recycled,126.91,7.87,6.47,115.71,63.79,2.25,0.51,33.67,11.86,0.05
Lead,Hybrid,Reused,54.6,3.4,2.82,184.97,69.47,1.43,0.59,1.59,6.04,0.1
